edge_mode	model	subset	metric	mean	stddev
non_edge	GRASP	top10_benign	early_corr	0.9771733903222612	0.01184367241474233
non_edge	GRASP	top10_benign	early_mae	0.9879518359899521	0.7366427619091241
non_edge	GRASP	top10_benign	ttae_sec	1.5059523809523796	1.5100366536575398
non_edge	GRASP	top10_benign	wash_in_slope_err	0.020119806329758138	0.013936374822612261
non_edge	GRASP	top10_benign	iauc10_err	5.138307781446547	3.580942933171733
non_edge	GRASP	top10_benign	peak_err	2.145119476318359	1.4330804243899085
non_edge	GRASP	top10_benign	ttpeak_err_sec	1.5476190476190463	2.497163924214646
edge	BRISKNet	all_pixels_malignant	curve_corr	0.9521049493317653	0.02244714491576454
edge	BRISKNet	all_pixels_malignant	curve_mae	7.9610385258992515	4.409029226946799
edge	BRISKNet	all_pixels_malignant	early_corr	0.9039424947044812	0.04612299291275762
edge	BRISKNet	all_pixels_malignant	early_mae	9.248811864852906	5.476955822921739
edge	BRISKNet	all_pixels_malignant	ttae_sec	8.666275063906502	3.1811916248572745
edge	BRISKNet	all_pixels_malignant	wash_in_slope_err	0.32234112558525285	0.33383747173552114
edge	BRISKNet	all_pixels_malignant	iauc10_err	89.01695095065523	54.39788952597017
edge	BRISKNet	all_pixels_malignant	peak_err	13.172911055882771	7.4002513650574215
edge	BRISKNet	all_pixels_malignant	ttpeak_err_sec	21.296829893679053	6.891344094847553
edge	BRISKNet	all_pixels_benign	curve_corr	0.9613786454293443	0.016775614697219287
edge	BRISKNet	all_pixels_benign	curve_mae	5.388095045089722	2.8965299776936466
edge	BRISKNet	all_pixels_benign	early_corr	0.946432581798988	0.032721194122132494
edge	BRISKNet	all_pixels_benign	early_mae	5.357882809638977	3.7016745815584664
edge	BRISKNet	all_pixels_benign	ttae_sec	10.738417623761517	3.155194955601197
edge	BRISKNet	all_pixels_benign	wash_in_slope_err	0.11409010389995458	0.16197043866780186
edge	BRISKNet	all_pixels_benign	iauc10_err	54.96458656302913	29.293303967813312
edge	BRISKNet	all_pixels_benign	peak_err	10.65276083946228	5.813227241487847
edge	BRISKNet	all_pixels_benign	ttpeak_err_sec	18.675589737386872	4.321898525558017
edge	BRISKNet	top20_malignant	curve_corr	0.991771368351418	0.0030987809789099594
edge	BRISKNet	top20_malignant	curve_mae	13.951404031117757	6.676502732861789
edge	BRISKNet	top20_malignant	early_corr	0.9828199200903035	0.013718494624489989
edge	BRISKNet	top20_malignant	early_mae	15.00570052464803	7.675266858260635
edge	BRISKNet	top20_malignant	ttae_sec	5.114720041062279	1.5776603150790751
edge	BRISKNet	top20_malignant	wash_in_slope_err	0.26931549273207706	0.28157071017135066
edge	BRISKNet	top20_malignant	iauc10_err	141.2158473286751	66.88675739411217
edge	BRISKNet	top20_malignant	peak_err	23.636575508117676	10.664499342647305
edge	BRISKNet	top20_malignant	ttpeak_err_sec	20.83958285442037	8.642335396997149
edge	BRISKNet	top20_benign	curve_corr	0.9821235367902019	0.008279059952007124
edge	BRISKNet	top20_benign	curve_mae	7.889036679267884	4.192096966473711
edge	BRISKNet	top20_benign	early_corr	0.9803784811192033	0.012023034178408646
edge	BRISKNet	top20_benign	early_mae	7.5405588984489444	4.97373764720609
edge	BRISKNet	top20_benign	ttae_sec	8.80654261704682	3.7842871291602713
edge	BRISKNet	top20_benign	wash_in_slope_err	0.12505884124068695	0.13318883496444925
