comparison_group,comparison,method_a,method_b,exp_a,exp_b,spf,log_source_a,log_source_b,metric_family,metric,p_adj_bh,n_valid,n_nan,mean_a,mean_b,mean_diff,ci_low,ci_high,W_stat,p_raw,effect_r,direction
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_16spf_sampling_arrshift_fop,GRASP,16,test_inference_logs_mri_journal_revised.json,—,temporal,ttae_sec,0.7086296654751146,15,10,1.8751655333333332,1.7157254,0.1594401333333333,-0.5908899915387206,0.9097702582053872,45.0,0.6377666989276032,0.625,b_better
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_16spf_sampling_arrshift_fop,GRASP,16,test_inference_logs_mri_journal_revised.json,—,temporal,wash_in_slope_err,0.00026157924107142856,15,10,0.0198352,0.0236222,-0.0037869999999999987,-0.005161990229571294,-0.0024120097704287058,0.0,6.103515625e-05,1.0,a_better
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_16spf_sampling_arrshift_fop,GRASP,16,test_inference_logs_mri_journal_revised.json,—,mc,dc_mae,1.0927518208821615e-07,25,0,0.6044119600000001,0.6071515599999999,-0.002739599999999842,-0.0033185902668278443,-0.0021606097331721558,0.0,5.960464477539063e-08,1.0,a_better
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_16spf_sampling_arrshift_fop,GRASP,16,test_inference_logs_mri_journal_revised.json,—,mc,ssdu_nmse,2.384185791015625e-07,23,2,0.38212013043478266,0.4839859130434784,-0.10186578260869572,-0.10866682229069041,-0.09506474292670092,0.0,2.384185791015625e-07,1.0,a_better
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_24spf_sampling_arrshift_fop,GRASP,24,test_inference_logs_mri_journal_revised.json,—,spatial,ssim,0.02077481746673584,25,0,0.92697352,0.92385496,0.0031185599999999924,0.0005670621078245107,0.005670057892175518,75.0,0.017312347888946533,0.7692307692307692,a_better
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_24spf_sampling_arrshift_fop,GRASP,24,test_inference_logs_mri_journal_revised.json,—,spatial,psnr,3.2186508178710934e-07,25,0,29.66241328,29.837619760000003,-0.1752064800000035,-0.21843632493306145,-0.13197663506693788,2.0,1.7881393432617188e-07,0.9938461538461538,b_better
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_24spf_sampling_arrshift_fop,GRASP,24,test_inference_logs_mri_journal_revised.json,—,spatial,lpips,0.7529937659992891,25,0,0.0315888,0.03256236,-0.0009735599999999983,-0.0026235638002186533,0.0006764438002186547,148.0,0.7111607789993286,0.5446153846153846,a_better
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_24spf_sampling_arrshift_fop,GRASP,24,test_inference_logs_mri_journal_revised.json,—,temporal,early_corr,0.8345858509892045,15,10,0.9926892666666665,0.9916619333333334,0.001027333333333047,-0.002734475619555838,0.00478914228622251,55.0,0.803955078125,0.5416666666666667,a_better
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_24spf_sampling_arrshift_fop,GRASP,24,test_inference_logs_mri_journal_revised.json,—,temporal,early_mae,0.00054931640625,15,10,1.3278570666666667,1.1717449333333332,0.1561121333333335,0.06311800377293876,0.24910626289372795,2.0,0.00018310546875,0.9833333333333333,b_better
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_24spf_sampling_arrshift_fop,GRASP,24,test_inference_logs_mri_journal_revised.json,—,temporal,iauc10_err,0.008392333984375,15,10,18.5453574,15.363488933333333,3.1818684666666677,0.7513730011520954,5.612363932181236,11.0,0.00335693359375,0.9083333333333333,b_better
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_24spf_sampling_arrshift_fop,GRASP,24,test_inference_logs_mri_journal_revised.json,—,temporal,ttae_sec,0.8345858509892045,15,10,1.0798672666666667,0.9496805999999999,0.13018666666666678,-0.7465654332412365,1.00693876657457,42.0,0.8067663226228976,0.65,b_better
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_24spf_sampling_arrshift_fop,GRASP,24,test_inference_logs_mri_journal_revised.json,—,temporal,wash_in_slope_err,0.01007080078125,15,10,0.013669600000000002,0.0161328,-0.002463199999999997,-0.00402034573554682,-0.0009060542644531786,13.0,0.00537109375,0.8916666666666666,a_better
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_24spf_sampling_arrshift_fop,GRASP,24,test_inference_logs_mri_journal_revised.json,—,mc,dc_mae,1.0927518208821615e-07,25,0,0.5664941200000001,0.56859212,-0.0020979999999999333,-0.002571103462607371,-0.0016248965373926645,0.0,5.960464477539063e-08,1.0,a_better
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_24spf_sampling_arrshift_fop,GRASP,24,test_inference_logs_mri_journal_revised.json,—,mc,ssdu_nmse,2.384185791015625e-07,23,2,0.3700926521739131,0.43081021739130443,-0.060717565217391356,-0.06607727762906361,-0.05535785280571899,0.0,2.384185791015625e-07,1.0,a_better
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_36spf_sampling_arrshift_fop,GRASP,36,test_inference_logs_mri_journal_revised.json,—,spatial,ssim,0.002089747360774449,25,0,0.9241147200000002,0.9184737600000001,0.005640960000000028,0.002335316366791379,0.008946603633208606,50.0,0.001625359058380127,0.8461538461538461,a_better
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_36spf_sampling_arrshift_fop,GRASP,36,test_inference_logs_mri_journal_revised.json,—,spatial,psnr,5.2818885216346156e-05,25,0,29.11283444,29.211942639999997,-0.09910819999999632,-0.14005917714291743,-0.05815722285708229,23.0,3.814697265625e-05,0.9292307692307692,b_better
accel_sweep,BRISKNet_vs_GRASP,BRISKNet,GRASP,ei_36spf_sampling_arrshift_fop,GRASP,36,test_inference_logs_mri_journal_revised.json,—,spatial,lpips,2.7447938919067383e-05,25,0,0.030050600000000004,0.0342942,-0.004243599999999993,-0.006147029393853183,-0.002340170606146817,19.0,1.8298625946044922e-05,0.9415384615384615,a_better
